stateCode,year,min,max
008,1979,59.18,80.52
008,1980,59.1,80.77
008,1981,57.51,80.99
008,1982,61.12,81.89
008,1983,58.88,79.63
008,1984,59.15,80.81
008,1985,60.02,81.62
008,1986,60.79,82.14
008,1987,59.53,80.82
008,1988,58.83,80.6
008,1989,59.96,81.93
008,1990,61.38,83.61
008,1991,61.64,81.88
008,1992,59.93,80.6
008,1993,59.6,80.98
008,1994,61.52,81.54
008,1995,60.44,81.16
008,1996,59.03,80.73
008,1997,60.68,81.57
008,1998,62.18,82.79
008,1999,60.13,82.15
008,2000,59.09,82.08
008,2001,60.12,81.72
008,2002,60.79,81.82
008,2003,60.53,81.21
008,2004,60.27,81.36
008,2005,60.68,80.99
008,2006,60.28,82.45
008,2007,61.07,82.42
008,2008,60.15,81.45
008,2009,60.66,81.68
008,2010,58.3,80.07
008,2011,60.58,82.78
008,2012,61.37,82.41
008,2013,61.58,81.79
008,2014,60.12,81.13
008,2015,63.58,83.15
008,2016,62.12,82.8
008,2017,62.49,83.16
008,2018,62.24,82.31
008,2019,63.08,83.3
008,2020,63.18,83.22
008,2021,62.23,82.16
008,2022,62.1,82.77
008,2023,37.18,54.76
009,1895,50.98,73.05
009,1896,53.41,75.46
009,1897,53.35,75.02
009,1898,52.78,74.32
009,1899,52.32,74.94
009,1900,52.62,74.68
009,1901,49.71,73.1
009,1902,51.69,75.01
009,1903,51.08,73.62
009,1904,50.42,74.38
009,1905,51.95,74.16
009,1906,52.08,74.58
009,1907,52.33,75.57
009,1908,52.28,75.83
009,1909,51.78,75.32
009,1910,50.38,74.41
009,1911,53.39,76.7
009,1912,51.53,73.36
009,1913,51.87,75.46
009,1914,51.28,74.22
009,1915,51.82,74.84
009,1916,51.71,75.48
009,1917,49.88,74.04
009,1918,52.15,75.04
009,1919,52.94,75.85
009,1920,51.07,73.64
009,1921,53.53,77.32
009,1922,53.94,76.06
009,1923,52.58,74.99
009,1924,50.56,73.99
009,1925,52.83,77.11
009,1926,51.48,74.56
009,1927,53.23,77.28
009,1928,51.33,74.08
009,1929,52.49,74.82
009,1930,51.38,74.5
009,1931,51.82,76.8
009,1932,53.27,75.96
