city,state,scientific_name,tree_count
Adair,Iowa,Acer freemanii,27
Adair,Iowa,Acer saccharinum,22
Adair,Iowa,Tilia cordata,16
Adair,Iowa,Other,129
Adel,Iowa,Fraxinus pennsylvanica,97
Adel,Iowa,Acer platanoides,89
Adel,Iowa,Acer freemanii,57
Adel,Iowa,Acer saccharinum,40
Adel,Iowa,Tilia cordata,39
Adel,Iowa,Other,222
Baxter,Iowa,Fraxinus pennsylvanica,146
Baxter,Iowa,Acer platanoides,18
Baxter,Iowa,Acer freemanii,13
Baxter,Iowa,Acer saccharinum,11
Baxter,Iowa,Tilia cordata,10
Baxter,Iowa,Other,69
Bayard,Iowa,Fraxinus pennsylvanica,13
Bayard,Iowa,Acer platanoides,12
Bayard,Iowa,Acer freemanii,11
Bayard,Iowa,Acer saccharinum,9
Bayard,Iowa,Tilia cordata,4
Bayard,Iowa,Other,15
Bondurant,Iowa,Fraxinus pennsylvanica,61
Bondurant,Iowa,Acer platanoides,51
Bondurant,Iowa,Acer freemanii,40
Bondurant,Iowa,Acer saccharinum,34
Bondurant,Iowa,Tilia cordata,22
Bondurant,Iowa,Other,296
Bouton,Iowa,Fraxinus pennsylvanica,49
Bouton,Iowa,Acer platanoides,27
Bouton,Iowa,Acer freemanii,18
Bouton,Iowa,Acer saccharinum,14
Bouton,Iowa,Tilia cordata,6
Bouton,Iowa,Other,44
Carlisle,Iowa,Fraxinus pennsylvanica,64
Carlisle,Iowa,Acer platanoides,54
Carlisle,Iowa,Acer freemanii,53
Carlisle,Iowa,Acer saccharinum,51
Carlisle,Iowa,Tilia cordata,43
Carlisle,Iowa,Other,256
Colfax,Iowa,Fraxinus pennsylvanica,53
Colfax,Iowa,Acer platanoides,45
Colfax,Iowa,Acer freemanii,29
Colfax,Iowa,Acer saccharinum,28
Colfax,Iowa,Tilia cordata,13
Colfax,Iowa,Other,109
Coon Rapids,Iowa,Fraxinus pennsylvanica,159
Coon Rapids,Iowa,Acer platanoides,88
Coon Rapids,Iowa,Acer freemanii,65
Coon Rapids,Iowa,Acer saccharinum,40
Coon Rapids,Iowa,Tilia cordata,34
Coon Rapids,Iowa,Other,284
Dallas Center,Iowa,Fraxinus pennsylvanica,148
Dallas Center,Iowa,Acer platanoides,103
Dallas Center,Iowa,Acer freemanii,94
Dallas Center,Iowa,Acer saccharinum,83
Dallas Center,Iowa,Tilia cordata,50
Dallas Center,Iowa,Other,341
De Soto,Iowa,Fraxinus pennsylvanica,73
De Soto,Iowa,Acer platanoides,12
De Soto,Iowa,Acer freemanii,12
De Soto,Iowa,Acer saccharinum,9
De Soto,Iowa,Tilia cordata,6
De Soto,Iowa,Other,46
